"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3u1JcWL1OcJNe6I5P93VyZ","Hipsta","spotify:artist:0CbeG1224FS58EUx4tPevZ, spotify:artist:3Rr1Vx3lro8cxDD6OFnYkJ","Timmy Trumpet, Chardy","spotify:album:7xeMcofhxPZ6zuAORYkqxA","Hipsta","spotify:artist:0CbeG1224FS58EUx4tPevZ, spotify:artist:3Rr1Vx3lro8cxDD6OFnYkJ","Timmy Trumpet, Chardy","2015-02-19","https://i.scdn.co/image/ab67616d0000b27368a2f07ed342f2909545b7a6","1","1","232846","","false","0","spotify:user:b1zguy","2021-03-24T08:03:35Z","australian dance,big room,edm,melbourne bounce,melbourne bounce international,pop dance,melbourne bounce","0.753","0.869","6","-3.659","1","0.351","0.00281","0.00503","0.285","0.353","130.024","4","","Hussle Recordings","C (P) 2015 Hussle Recordings, P (P) 2015 Hussle Recordings"
"spotify:track:5OgKYf0pK46xk36olPiLZW","Unbroken","spotify:artist:1V3VTM7VspiQjcmRhC010n, spotify:artist:47BEc2RoW53owMyxacXWdV, spotify:artist:71WExccCBN2mw0klSzfYzz","Quintino, Yves V, Gia Koka","spotify:album:73ZqYItXYp3J5J8kk5Xj5p","Unbroken","spotify:artist:1V3VTM7VspiQjcmRhC010n, spotify:artist:47BEc2RoW53owMyxacXWdV","Quintino, Yves V","2016-01-01","https://i.scdn.co/image/ab67616d0000b27376fc71333c0be6c0795280e3","1","1","185625","","false","0","spotify:user:b1zguy","2021-03-24T08:08:56Z","dutch edm,dutch house,edm,electro house,pop dance,progressive electro house,slap house,belgian edm,brazilian edm,dance pop,edm,electro house,pop dance,pop edm,progressive electro house,slap house,tropical house","0.567","0.772","5","-4.261","1","0.0582","0.000466","0.0000325","0.254","0.11","128.073","4","","Spinnin' Records","C 2015 SpinninRecords.com, P 2015 SpinninRecords.com"
"spotify:track:05fxIv1ugnZSw7rnA5tJxg","Far From Home - Original Mix","spotify:artist:06cLuOP0p7VAnBnqil1eWX, spotify:artist:2SHmJ9pvh1h1TXu2WulzL4","Swanky Tunes, Going Deeper","spotify:album:4MkeWvYqSkIjutUQCS07Vf","Far From Home","spotify:artist:06cLuOP0p7VAnBnqil1eWX, spotify:artist:2SHmJ9pvh1h1TXu2WulzL4","Swanky Tunes, Going Deeper","2015-10-19","https://i.scdn.co/image/ab67616d0000b273703e5759c0e544381262cb8b","1","2","316800","https://p.scdn.co/mp3-preview/2ca7a275f15c52d1321bf454fd1e4f49cc62aa4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:b1zguy","2021-03-24T08:09:09Z","edm,electro house,pop dance,pop edm,progressive electro house,progressive house,russian edm,sky room,edm,electro house,house,pop dance,pop edm,russian edm","0.605","0.905","4","-3.963","0","0.0383","0.00532","0.034","0.0397","0.585","125","4","","Armada Music","C 2015 Armada Music B.V., P 2015 Armada Music B.V."
"spotify:track:2v6nEmqTRR4e1feHi8LLtp","Booty Bounce - Radio Edit","spotify:artist:2vVNxGBvKRQMWwI5c8KmYh","Tujamo","spotify:album:3qMa9JvuFpMGLTuHEYcEVF","Booty Bounce","spotify:artist:2vVNxGBvKRQMWwI5c8KmYh","Tujamo","2015-04-17","https://i.scdn.co/image/ab67616d0000b273b314b8ae00fc33dafeb8546d","1","1","199687","","false","0","spotify:user:b1zguy","2021-03-24T08:09:21Z","dance pop,edm,electro house,pop dance,progressive electro house,tropical house","0.656","0.987","0","-2.26","1","0.0353","0.0225","0.388","0.0629","0.554","127.993","4","","Spinnin' Records","C 2015 SpinninRecords.com, P 2015 SpinninRecords.com"
"spotify:track:6lOsjTvgGL08uRf2nKrSed","Dreaming - The Chainsmokers Remix","spotify:artist:4iiQabGKtS2RtTKpVkrVTw, spotify:artist:69GGBxA162lTqCwzJG5jLp","Smallpools, The Chainsmokers","spotify:album:6s3mToHfR82x0g6rd0KAgN","Dreaming Remix EP","spotify:artist:4iiQabGKtS2RtTKpVkrVTw","Smallpools","2013-12-13","https://i.scdn.co/image/ab67616d0000b27360d827ec1d044dc12909d9f5","1","1","297906","https://p.scdn.co/mp3-preview/96be31334611b11c3a385bb1701b34f5861aa885?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:b1zguy","2021-03-24T08:09:32Z","electropop,hopebeat,indie poptimism,la indie,la pop,metropopolis,modern alternative rock,modern rock,pop rock,dance pop,edm,electropop,pop,pop dance,tropical house","0.628","0.978","5","-3.739","0","0.0771","0.0132","0.0336","0.0494","0.453","127.04","4","","RCA Records Label","P (P) 2013 RCA Records, a division of Sony Music Entertainment"
"spotify:track:06bivNrigrgsbwXooKUzHn","Chemical Energy (feat. Flea)","spotify:artist:1u7OVFmWah4wQhOPIbUb8U, spotify:artist:0Xl5J6iOgiQHFqgri7TF8j","Will Sparks, Flea","spotify:album:1I3bQLwEfrzt3yu7rnbuwB","MELBOURNE BOUNCE","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-10-11","https://i.scdn.co/image/ab67616d0000b273542a117c955f8d73c5937444","1","2","285255","","true","0","spotify:user:b1zguy","2021-03-24T08:10:08Z","big room,edm,electro house,melbourne bounce,melbourne bounce international,pop dance,electric bass,funk rock","0.915","0.677","11","-6.221","0","0.326","0.0117","0.000211","0.352","0.614","127.997","4","","onelove","P 2013 onelove"
"spotify:track:6WFmZ2wpdb64dVnO9sMRN2","Tomorowland","spotify:artist:5tQInn5C1ECITHXtZ89BQ2","Ivan Craft","spotify:album:4EwqPYLGOrMpsXaeXM0XRv","Tomorowland","spotify:artist:5tQInn5C1ECITHXtZ89BQ2","Ivan Craft","2012-12-01","https://i.scdn.co/image/ab67616d0000b2739123d4af07f634e73c18cfe8","1","1","356250","","false","0","spotify:user:b1zguy","2021-03-24T08:15:43Z","","0.74","0.563","7","-8.451","1","0.111","0.00349","0.87","0.0631","0.312","127.998","4","","Daviddance","C 2012 Daviddance, P 2012 Daviddance"
"spotify:track:3frzyav3WIM2kW1QthfBKy","Ghetto Supastar - Radio Edit","spotify:artist:0djYNSire4uhcmJbB7SYCm","Pras United","spotify:album:4DJzZkTSdiguVl2juUJvog","60 Alltime Dance Classics","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-04-15","https://i.scdn.co/image/ab67616d0000b2732752e10ea2ada4b007601320","1","12","230155","","false","0","spotify:user:b1zguy","2021-03-24T08:16:24Z","","0.664","0.793","6","-6.935","1","0.0423","0.0606","0.0000535","0.142","0.365","127.98","4","","Puropop","C 2011 Puropop, P 2011 Puropop"
"spotify:track:5lByoyTJti3jYo22bLQKOH","Burnin","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ","Calvin Harris, R3HAB","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756","1","14","234773","https://p.scdn.co/mp3-preview/5bd26c361da857bff10a581b275a9660a9deec1c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:b1zguy","2021-03-24T08:17:48Z","dance pop,edm,electro house,house,pop,progressive house,uk dance,dance pop,dutch house,edm,electro house,pop,pop dance,progressive electro house,slap house,tropical house","0.643","0.997","11","-1.656","1","0.0483","0.00205","0.672","0.659","0.555","128.004","4","","Columbia","P (P) 2014 Sony Music Entertainment UK Limited"
"spotify:track:3Qy1TBErdWSN3xaxiPlTGz","I'm Still Hot - R3hab Remix","spotify:artist:4ugGMtXC28CVR5hlYJy9wV","Luciana","spotify:album:2sQaz0HFcUkR5nOwY0Lrq9","I'm Still Hot (Remixes)","spotify:artist:4ugGMtXC28CVR5hlYJy9wV","Luciana","2011-11-22","https://i.scdn.co/image/ab67616d0000b2732867be26e62dac1cf38d8525","1","5","247500","","false","0","spotify:user:b1zguy","2021-03-24T08:19:40Z","dance pop","0.768","0.874","7","-4.235","1","0.0543","0.00634","0.0144","0.33","0.0929","128.004","4","","Audacious Records","C (C) 2011 Audacious Records"
